SubjectID,ActivityID,TrialNo,IsFall
1,13,1,False
1,13,2,False
1,13,3,False
1,13,4,False
1,13,5,False
1,13,6,False
1,13,7,False
1,13,8,False
1,13,9,False
1,13,10,False
1,13,12,False
1,14,1,False
1,14,2,False
1,14,3,False
1,14,4,False
1,14,5,False
1,14,6,False
1,14,7,False
1,14,8,False
1,14,9,False
1,14,10,False
1,15,1,False
1,15,2,False
1,15,3,False
1,16,1,False
1,16,2,False
1,16,3,False
1,16,4,False
1,16,5,False
1,17,1,False
1,17,2,False
1,17,3,False
1,17,4,False
1,17,5,False
1,17,6,False
1,18,1,False
1,18,2,False
1,18,3,False
1,18,4,False
1,18,5,False
1,18,6,False
1,19,1,False
1,19,2,False
1,19,4,False
1,19,6,False
1,20,1,False
1,20,2,False
1,20,3,False
1,20,4,False
1,21,1,False
1,21,2,False
1,21,3,False
1,21,4,False
1,21,5,False
1,22,1,False
1,22,2,False
1,22,3,False
1,23,1,False
1,25,1,False
1,25,3,False
1,26,1,False
1,26,2,False
1,26,3,False
1,26,4,False
1,27,1,False
1,27,2,False
1,27,3,False
1,27,4,False
1,28,1,False
1,28,2,False
1,28,3,False
1,28,4,False
1,29,1,False
1,29,2,False
1,30,1,False
1,30,2,False
1,31,1,False
1,31,2,False
1,32,1,False
1,32,2,False
1,33,1,False
1,33,2,False
1,34,1,False
1,34,2,False
1,35,1,False
1,35,2,False
1,36,1,False
1,36,2,False
1,37,1,False
1,37,2,False
1,38,1,False
1,38,2,False
1,39,1,False
1,39,2,False
1,40,1,False
1,40,2,False
1,43,1,False
1,43,2,False
1,43,3,False
1,44,1,False
1,101,1,True
1,101,2,True
1,101,3,True
1,102,2,True
1,102,3,True
1,103,1,True
1,103,2,True
1,104,1,True
1,104,2,True
1,105,1,True
1,105,2,True
1,105,3,True
1,105,4,True
1,106,1,True
1,106,3,True
1,107,1,True
1,107,2,True
1,107,3,True
1,107,4,True
1,107,5,True
1,107,6,True
1,108,1,True
1,108,2,True
1,108,3,True
1,108,4,True
1,108,5,True
1,109,1,True
1,109,2,True
1,109,3,True
1,110,1,True
1,110,2,True
1,111,1,True
1,112,1,True
1,113,1,True
1,113,2,True
1,113,3,True
1,114,2,True
1,115,1,True
1,115,2,True
1,116,1,True
1,116,2,True
1,117,1,True
1,117,2,True
1,118,1,True
1,118,2,True
1,119,1,True
1,119,2,True
1,119,3,True
1,120,2,True
1,120,3,True
1,121,1,True
1,121,2,True
1,122,2,True
1,123,1,True
1,123,2,True
1,124,1,True
1,124,2,True
1,125,1,True
1,125,2,True
1,126,1,True
1,126,2,True
1,127,1,True
1,127,2,True
1,127,3,True
1,127,4,True
1,128,1,True
1,128,2,True
1,128,3,True
1,128,4,True
1,129,1,True
1,130,1,True
1,131,1,True
1,131,2,True
1,132,1,True
1,133,1,True
1,134,1,True
1,134,2,True
1,135,1,True
1,135,2,True
1,1,1,False
1,1,2,False
1,1,3,False
1,1,4,False
1,2,1,False
1,2,2,False
1,2,3,False
1,2,4,False
1,3,1,False
1,3,2,False
1,3,3,False
1,3,4,False
1,4,1,False
1,4,2,False
1,4,3,False
1,4,4,False
1,5,1,False
1,5,2,False
1,5,3,False
1,5,4,False
1,6,1,False
1,6,2,False
1,6,3,False
1,6,4,False
1,7,1,False
1,7,2,False
1,7,3,False
1,7,4,False
1,8,1,False
1,8,2,False
1,8,3,False
1,8,4,False
1,9,1,False
1,9,2,False
1,9,3,False
1,9,4,False
1,10,1,False
1,10,2,False
1,11,1,False
1,11,2,False
1,11,3,False
1,11,4,False
1,12,1,False
1,12,2,False
1,12,3,False
1,12,4,False
1,13,1,False
1,13,2,False
1,13,3,False
1,13,4,False
1,13,5,False
1,13,6,False
1,13,7,False
1,13,8,False
1,13,9,False
1,13,10,False
1,13,11,False
1,13,12,False
1,14,1,False
1,14,2,False
1,14,3,False
1,14,4,False
1,14,5,False
1,14,6,False
1,14,7,False
1,14,8,False
1,14,9,False
1,14,10,False
1,14,11,False
1,14,12,False
1,15,1,False
1,15,2,False
1,15,3,False
1,16,1,False
1,16,2,False
1,16,3,False
1,16,4,False
1,16,5,False
1,16,6,False
1,17,1,False
1,17,2,False
1,17,3,False
1,17,4,False
1,17,5,False
1,17,6,False
1,18,1,False
1,18,2,False
1,18,3,False
1,18,4,False
1,18,5,False
1,18,6,False
1,19,1,False
1,19,2,False
1,19,3,False
1,19,4,False
1,19,5,False
1,19,6,False
1,20,1,False
1,20,2,False
1,20,3,False
1,20,4,False
1,20,5,False
1,20,6,False
1,21,1,False
1,21,2,False
1,21,3,False
1,21,4,False
1,21,5,False
1,21,6,False
1,22,1,False
1,22,2,False
1,22,3,False
1,23,1,False
1,23,2,False
1,23,3,False
1,24,1,False
1,24,2,False
1,24,3,False
1,25,1,False
1,25,2,False
1,25,3,False
1,26,1,False
1,26,2,False
1,26,3,False
1,26,4,False
1,27,1,False
1,27,2,False
1,27,3,False
1,27,4,False
1,28,1,False
1,28,2,False
1,28,3,False
1,28,4,False
1,29,1,False
1,29,2,False
1,30,1,False
1,30,2,False
1,31,1,False
1,31,2,False
1,32,1,False
1,32,2,False
1,33,1,False
1,33,2,False
1,34,1,False
